plume_id,plume_latitude,plume_longitude,datetime,ipcc_sector,gas,cmf_type,plume_bounds,instrument,published_at,plume_png_object,plume_tif_object,rgb_png_object,rgb_tif_object,emission_auto,emission_uncertainty_auto,wind_speed_avg_auto,wind_speed_std_auto,wind_direction_avg_auto,wind_direction_std_auto,wind_source_auto,platform,provider,plume_tif,plume_png,rgb_tif,rgb_png
emi20240303t061233p04007-A,8.977590936649676,38.712305663230495,2024-03-03T06:12:33+00,Solid Waste (6A),CH4,mfa,"[38.67345950608738, 8.951114467299123, 38.73507436880811, 9.011973847422437]",emi,2024-04-22 16:24:25.356236+00:00,,,,,1390.1595600263377,465.58700622025515,1.8425925925925928,0.6171141741833939,94.61573754868782,51.37015154749671,openmeteo,ISS,NASA-JPL EMIT,emi20240303t061233p04007-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240303t061233p04007-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240303t061233p04007-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240303t061233p04007-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240305t123325p08014-A,-22.792366544824333,-43.75785798434842,2024-03-05T12:33:25+00,Solid Waste (6A),CH4,mfa,"[-43.788875956001746, -22.80723615829195, -43.723799774731624, -22.746712947162084]",emi,2024-03-14 19:18:03.169515+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT,emi20240305t123325p08014-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240305t123325p08014-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240305t123325p08014-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240305t123325p08014-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240306t145639p10006-A,-35.32991515333351,-71.64812597447343,2024-03-06T14:56:39+00,Solid Waste (6A),CH4,mfa,"[-71.68744999668662, -35.35721612946875, -71.61718335777043, -35.29988913058275]",emi,2024-03-27 18:19:37.530087+00:00,,,,,3070.229125675075,339.8987087707399,2.092592592592592,0.23166659265179262,206.3432288401333,6.65558532727833,openmeteo,ISS,NASA-JPL EMIT,emi20240306t145639p10006-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240306t145639p10006-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240306t145639p10006-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240306t145639p10006-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240308t132102p09010-A,-31.515364360498914,-64.23089794610364,2024-03-08T13:21:02+00,Solid Waste (6A),CH4,mfa,"[-64.26459988181668, -31.54842631138496, -64.19760179273523, -31.49131319724037]",emi,2024-04-22 16:24:25.622577+00:00,,,,,2298.775768167034,285.86399907738115,4.249999999999999,0.5285082664011233,18.674523234328724,6.1869165017917975,openmeteo,ISS,NASA-JPL EMIT,emi20240308t132102p09010-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240308t132102p09010-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240308t132102p09010-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240308t132102p09010-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240310t132045p08004-A,-34.82224660122173,-71.18175537904037,2024-03-10T13:20:45+00,Solid Waste (6A),CH4,mfa,"[-71.21828146914088, -34.84955983734087, -71.14879344156303, -34.79300630802339]",emi,2024-03-22 00:26:54.450093+00:00,,,,,557.6586251735541,42.631149569195784,0.9537037037037037,0.07290748031492418,161.00489325099096,5.891732376478616,openmeteo,ISS,NASA-JPL EMIT,emi20240310t132045p08004-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240310t132045p08004-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240310t132045p08004-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240310t132045p08004-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240312t195224p12006-A,-36.694766484733016,-72.16723273880282,2024-03-12T19:52:24+00,Solid Waste (6A),CH4,mfa,"[-72.19812129801747, -36.72507620908503, -72.12831570751702, -36.66862711718532]",emi,2024-04-22 16:24:25.730182+00:00,,,,,1734.631326793671,411.0459255792925,3.25,0.7701344011825296,266.0,3.266649974484915,openmeteo,ISS,NASA-JPL EMIT,emi20240312t195224p12006-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240312t195224p12006-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240312t195224p12006-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240312t195224p12006-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240315t204609p13002-A,-11.928054215876529,-77.12085001148277,2024-03-15T20:46:09+00,Solid Waste (6A),CH4,mfa,"[-77.157764962821, -11.942658318916669, -77.09316332436012, -11.87998335541216]",emi,2024-04-22 16:13:59.458768+00:00,,,,,9233.956481400375,326.5623958202342,4.898148148148149,0.17322487901731187,196.6690803814741,4.991243295101804,openmeteo,ISS,NASA-JPL EMIT,emi20240315t204609p13002-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240315t204609p13002-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240315t204609p13002-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240315t204609p13002-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240315t204609p13002-B,-11.81426628671126,-77.0657704397666,2024-03-15T20:46:09+00,Solid Waste (6A),CH4,mfa,"[-77.0953357466303, -11.843710654688685, -77.0334912533136, -11.78264030513978]",emi,2024-07-08 16:13:08.373661+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT,emi20240315t204609p13002-B_l3a-vis-ch4-mfa-v002_plume.tif,emi20240315t204609p13002-B_l3a-vis-ch4-mfa-v002_plume.png,emi20240315t204609p13002-B_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240315t204609p13002-B_l3a-vis-ch4-mfa-v002_rgb.png
emi20240316t181742p11005-A,-37.30004218418879,-72.33234608466357,2024-03-16T18:17:42+00,Solid Waste (6A),CH4,mfa,"[-72.36908159451954, -37.323274100726984, -72.29916706643967, -37.267180050052126]",emi,2024-05-16 16:18:11.611189+00:00,,,,,4478.3436725251295,15.693357497150522,6.472222222222221,0.022680460581325643,190.66670428043918,1.2472560687808596,openmeteo,ISS,NASA-JPL EMIT,emi20240316t181742p11005-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240316t181742p11005-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240316t181742p11005-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240316t181742p11005-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240316t181754p11006-A,-36.69454482922902,-72.16638191482346,2024-03-16T18:17:54+00,Solid Waste (6A),CH4,mfa,"[-72.20124312814569, -36.7202539836898, -72.13157624124702, -36.66391356222471]",emi,2024-04-22 16:13:59.385531+00:00,,,,,4784.097531285203,223.59380811223062,6.407407407407407,0.29946225238511537,201.33329571956082,1.2472560687808596,openmeteo,ISS,NASA-JPL EMIT,emi20240316t181754p11006-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240316t181754p11006-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240316t181754p11006-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240316t181754p11006-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240317t173050p11012-A,-38.19440042147741,-68.11386084908222,2024-03-17T17:30:50+00,Oil & Gas (1B2),CH4,mfa,"[-68.14439654077273, -38.21961334112521, -68.07552021913651, -38.16548087347215]",emi,2024-04-22 16:30:10.699388+00:00,,,,,766.4121855957816,93.85479999348895,1.9629629629629628,0.24038435158791058,171.35627713712782,10.804631430664093,openmeteo,ISS,NASA-JPL EMIT,emi20240317t173050p11012-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240317t173050p11012-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240317t173050p11012-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240317t173050p11012-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240321t051333p03011-B,-20.62589156859967,116.78011901633477,2024-03-21T05:13:33+00,Other,CH4,mfa,"[116.7427053951154, -20.656880279029888, 116.80650327341841, -20.59717226487006]",emi,2024-05-16 16:18:11.127064+00:00,,,,,4466.430223136236,206.92786140257056,6.37037037037037,0.29513661945387426,62.987699218603375,9.106490552282382,openmeteo,ISS,NASA-JPL EMIT,emi20240321t051333p03011-B_l3a-vis-ch4-mfa-v002_plume.tif,emi20240321t051333p03011-B_l3a-vis-ch4-mfa-v002_plume.png,emi20240321t051333p03011-B_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240321t051333p03011-B_l3a-vis-ch4-mfa-v002_rgb.png
emi20240321t155924p10023-A,-32.810208662997056,-60.7649039936624,2024-03-21T15:59:24+00,Solid Waste (6A),CH4,mfa,"[-60.800143220285946, -32.827389494750754, -60.73281404197841, -32.77079426216076]",emi,2024-03-27 18:26:11.395595+00:00,,,,,3787.0913162198804,203.94320051098043,4.555555555555555,0.24532669073132932,170.33282069289993,4.498645797994604,openmeteo,ISS,NASA-JPL EMIT,emi20240321t155924p10023-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240321t155924p10023-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240321t155924p10023-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240321t155924p10023-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240322t074401p05002-A,13.584705297368501,100.67136473946101,2024-03-22T07:44:01+00,Solid Waste (6A),CH4,mfa,"[100.64231360264878, 13.559545362917552, 100.70437938525879, 13.620407308922925]",emi,2024-04-22 16:13:58.520912+00:00,,,,,5346.208338824787,955.340969470552,3.8796296296296298,0.6932706128642547,187.6650057162162,5.738480924506679,openmeteo,ISS,NASA-JPL EMIT,emi20240322t074401p05002-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240322t074401p05002-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240322t074401p05002-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240322t074401p05002-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240323t065641p05002-A,11.48844818841927,104.88571560749648,2024-03-23T06:56:41+00,Solid Waste (6A),CH4,mfa,"[104.85259552465111, 11.470839784930854, 104.91495916763364, 11.531415146456228]",emi,2024-04-22 16:24:25.582982+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT,emi20240323t065641p05002-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240323t065641p05002-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240323t065641p05002-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240323t065641p05002-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240323t114142p08012-A,30.185460952617007,50.37126630006475,2024-03-23T11:41:42+00,,CH4,mfa,"[50.33872788147721, 30.156746288262298, 50.40597708895995, 30.214375479306817]",emi,2024-04-03 22:10:08.566972+00:00,,,,,,,,,,,,ISS,NASA-JPL EMIT,emi20240323t114142p08012-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240323t114142p08012-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240323t114142p08012-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240323t114142p08012-A_l3a-vis-ch4-mfa-v002_rgb.png
emi20240323t114153p08013-A,30.834358562303365,50.70415984903016,2024-03-23T11:41:53+00,Oil & Gas (1B2),CH4,mfa,"[50.67922351793491, 30.81438984877565, 50.74495205112926, 30.871322236159262]",emi,2024-04-03 22:10:08.601254+00:00,,,,,5175.447229896787,174.26637294919797,3.5,0.11785113019775813,239.00652234094207,5.660303462107664,openmeteo,ISS,NASA-JPL EMIT,emi20240323t114153p08013-A_l3a-vis-ch4-mfa-v002_plume.tif,emi20240323t114153p08013-A_l3a-vis-ch4-mfa-v002_plume.png,emi20240323t114153p08013-A_l3a-vis-ch4-mfa-v002_rgb.tif,emi20240323t114153p08013-A_l3a-vis-ch4-mfa-v002_rgb.png
